CIR_Filename,Easting,Northing,Altitude,Omega,Phi,Kappa
150_RGB_110680_rgbi.tif,563259.606,5728623.150,1126.367,-1.09240,0.97210,54.76087
151_RGB_110681_rgbi.tif,563123.574,5728425.744,1122.054,-2.55827,-0.62329,53.68673
152_RGB_110682_rgbi.tif,562982.767,5728228.361,1119.729,-2.56208,0.61607,52.88434
153_RGB_110683_rgbi.tif,562841.407,5728033.994,1120.022,-1.71363,2.48538,52.78769
154_RGB_110684_rgbi.tif,562701.343,5727839.257,1121.804,-1.23024,3.66744,53.72784
155_RGB_110685_rgbi.tif,562562.848,5727642.549,1124.359,-4.09347,-0.21507,53.73898
156_RGB_110686_rgbi.tif,562421.499,5727447.520,1126.244,-2.74745,1.13076,52.66628
157_RGB_110687_rgbi.tif,562279.139,5727254.919,1126.342,-2.51403,0.91404,52.20856
158_RGB_110688_rgbi.tif,562134.157,5727061.459,1124.968,-1.21940,1.90069,52.24698
159_RGB_110689_rgbi.tif,561991.533,5726868.553,1122.294,-0.73559,2.20246,53.16271
160_RGB_110690_rgbi.tif,561849.739,5726672.948,1119.113,-1.38777,1.44467,52.85270
161_RGB_110691_rgbi.tif,561709.793,5726478.157,1116.219,-1.00651,2.11457,53.80181
162_RGB_110692_rgbi.tif,561570.564,5726281.044,1114.069,-2.57461,0.15522,53.51321
163_RGB_110693_rgbi.tif,561431.036,5726086.399,1113.433,-2.61646,1.22329,53.10953
164_RGB_110694_rgbi.tif,561289.789,5725891.059,1115.338,-2.61699,2.32457,53.10090
165_RGB_110695_rgbi.tif,561149.627,5725696.280,1119.736,-2.55349,2.99913,53.38632
166_RGB_110696_rgbi.tif,561009.035,5725499.338,1124.603,-3.49404,1.34575,53.16561
167_RGB_110697_rgbi.tif,560867.964,5725304.938,1127.715,-2.72325,1.66543,52.62864
168_RGB_110698_rgbi.tif,560726.426,5725111.666,1128.643,-2.56870,1.23455,52.56490
169_RGB_110699_rgbi.tif,560584.105,5724917.157,1128.409,-1.21061,2.69999,53.14947
170_RGB_110700_rgbi.tif,560444.384,5724721.733,1127.728,-1.56938,2.04927,53.85573
171_RGB_110701_rgbi.tif,560305.488,5724524.047,1126.876,-1.78248,1.73972,54.07650
172_RGB_110702_rgbi.tif,560168.410,5724326.981,1126.166,-1.36591,2.41470,54.38752
173_RGB_110703_rgbi.tif,560032.194,5724127.558,1125.780,-2.49341,1.12088,54.62257
174_RGB_110704_rgbi.tif,559896.949,5723929.576,1126.262,-1.87637,2.37649,54.46423
175_RGB_110705_rgbi.tif,559761.914,5723729.646,1127.324,-1.61565,3.05265,54.80847
176_RGB_110706_rgbi.tif,559627.524,5723529.495,1129.006,-5.07525,-1.77488,53.50039
177_RGB_110707_rgbi.tif,559487.885,5723334.664,1130.729,-2.82085,1.42149,52.03054
178_RGB_110708_rgbi.tif,559345.103,5723140.802,1132.407,-2.25177,2.19560,52.03856
179_RGB_110709_rgbi.tif,559201.833,5722947.006,1133.914,-2.07782,2.36299,52.19116
180_RGB_110710_rgbi.tif,559059.488,5722753.215,1134.888,-0.90719,3.82569,52.72562
181_RGB_110711_rgbi.tif,558920.187,5722557.323,1135.539,-2.95681,0.89291,53.72230
182_RGB_110712_rgbi.tif,558779.750,5722361.631,1135.891,-3.44162,0.07307,52.29573
183_RGB_110713_rgbi.tif,558636.215,5722169.478,1135.735,-2.46012,1.18886,51.52217
184_RGB_110714_rgbi.tif,558490.616,5721977.747,1135.106,-1.44327,2.43079,51.55863
185_RGB_110715_rgbi.tif,558345.505,5721784.960,1134.488,-1.14843,2.91797,52.02352
186_RGB_110716_rgbi.tif,558202.361,5721590.417,1134.365,-1.06810,3.18068,52.81658
187_RGB_110717_rgbi.tif,558062.809,5721395.537,1134.551,-1.59486,2.70198,53.39809
188_RGB_110718_rgbi.tif,557924.303,5721198.725,1135.200,-2.03770,2.34651,53.75213
189_RGB_110719_rgbi.tif,557786.897,5721002.205,1136.098,-2.80140,1.42286,53.54259
190_RGB_110720_rgbi.tif,557646.711,5720804.268,1137.197,-3.40584,0.58302,52.95419
191_RGB_110721_rgbi.tif,557505.946,5720611.449,1138.208,-3.39851,0.52438,51.83919
192_RGB_110722_rgbi.tif,558046.242,5720254.311,1130.696,2.71120,-1.26629,-125.04846
193_RGB_110723_rgbi.tif,558184.466,5720450.540,1130.765,2.53889,-1.52052,-125.08597
194_RGB_110724_rgbi.tif,558323.952,5720647.534,1131.110,1.93168,-2.45993,-125.40188
195_RGB_110725_rgbi.tif,558462.079,5720844.261,1131.530,2.41905,-1.71151,-124.83706
196_RGB_110726_rgbi.tif,558600.982,5721041.905,1132.031,2.47636,-1.56655,-125.40504
197_RGB_110727_rgbi.tif,558739.268,5721236.400,1132.431,2.40777,-1.73522,-125.75166
198_RGB_110728_rgbi.tif,558880.044,5721433.995,1133.195,2.53774,-1.73939,-125.28417
199_RGB_110729_rgbi.tif,559019.122,5721628.997,1134.448,2.91157,-1.39261,-125.70941
200_RGB_110730_rgbi.tif,559160.165,5721824.013,1136.060,2.92255,-1.24852,-126.10445
201_RGB_110731_rgbi.tif,559302.723,5722018.028,1137.278,2.41936,-1.66961,-126.37789
202_RGB_110732_rgbi.tif,559445.972,5722212.200,1137.493,1.77186,-2.18613,-126.14466
203_RGB_110733_rgbi.tif,559587.980,5722406.629,1136.791,1.31655,-2.43221,-125.91469
204_RGB_110734_rgbi.tif,559727.749,5722601.267,1135.395,1.07830,-2.51280,-125.34657
205_RGB_110735_rgbi.tif,559866.897,5722798.720,1133.460,1.82344,-1.28045,-124.99442
206_RGB_110736_rgbi.tif,560005.775,5722995.688,1131.715,2.06313,-1.09718,-125.18926
207_RGB_110737_rgbi.tif,560144.909,5723190.396,1130.687,2.69569,-0.37563,-125.96618
208_RGB_110738_rgbi.tif,560286.876,5723385.049,1130.179,1.23189,-2.70615,-125.91893
209_RGB_110739_rgbi.tif,560426.920,5723580.621,1130.530,1.62981,-2.76002,-125.02873
210_RGB_110740_rgbi.tif,560564.526,5723777.826,1132.058,2.46460,-1.97163,-124.47736
211_RGB_110741_rgbi.tif,560702.271,5723975.808,1134.047,2.63031,-1.39382,-125.08762
212_RGB_110742_rgbi.tif,560840.981,5724172.150,1134.886,2.98281,-0.22152,-125.45556
213_RGB_110743_rgbi.tif,560981.717,5724367.349,1134.184,1.39912,-2.24537,-125.72621
214_RGB_110744_rgbi.tif,561121.915,5724562.178,1133.382,2.56896,-0.66054,-125.78190
215_RGB_110745_rgbi.tif,561265.078,5724757.689,1133.112,2.77981,-0.50680,-126.68943
216_RGB_110746_rgbi.tif,561408.608,5724948.968,1133.091,2.78071,-0.74478,-126.97550
217_RGB_110747_rgbi.tif,561553.663,5725141.711,1133.601,1.43841,-3.02037,-126.37099
218_RGB_110748_rgbi.tif,561696.632,5725334.907,1135.079,3.25297,-0.82469,-126.69519
219_RGB_110749_rgbi.tif,561840.625,5725528.747,1137.096,-0.12571,-5.56787,-125.66152
220_RGB_110750_rgbi.tif,561978.363,5725724.589,1138.012,1.65178,-2.37153,-124.34387
221_RGB_110751_rgbi.tif,562115.230,5725922.814,1137.379,1.74803,-1.80053,-124.61655
222_RGB_110752_rgbi.tif,562251.780,5726121.234,1135.858,2.39575,-0.66271,-124.56331
223_RGB_110753_rgbi.tif,562388.931,5726318.126,1134.392,1.88972,-1.54066,-125.08620
224_RGB_110754_rgbi.tif,562527.409,5726515.750,1133.872,2.84781,-0.56544,-125.16307
225_RGB_110755_rgbi.tif,562666.731,5726711.187,1134.341,3.43471,-0.18879,-125.95507
226_RGB_110756_rgbi.tif,562809.829,5726905.068,1135.876,2.56091,-1.82841,-126.75176
