CIR_Filena	Easting	Northing	Ellips	Omega	Phi	Kappa
2096_146281.549759138C000616-37-43.549_NIR_65407_124253_rgbi.tif	455724.183	5639900.161	4534.091	-2.38162	1.83217	27.02523
2096_146284.549608139C000616-37-46.549_NIR_65408_124254_rgbi.tif	455538.115	5639773.905	4530.413	-2.36564	1.42254	26.59498
2096_146287.550098140C000616-37-49.550_NIR_65409_124255_rgbi.tif	455349.477	5639648.936	4525.973	-1.27354	2.04159	25.92315
2096_146290.549308141C000616-37-52.549_NIR_65410_124256_rgbi.tif	455159.175	5639524.095	4522.583	0.17392	3.18928	26.17396
2096_146293.549816142C000616-37-55.549_NIR_65411_124257_rgbi.tif	454968.744	5639397.290	4520.992	-1.59384	2.74346	26.54924
2096_146296.558007143C000616-37-58.558_NIR_65412_124258_rgbi.tif	454777.673	5639269.946	4521.401	-0.85497	3.63966	26.30412
2096_146299.550534144C000616-38-01.550_NIR_65413_124259_rgbi.tif	454588.378	5639142.656	4523.641	-0.65233	4.19345	26.87816
2096_146302.549709145C000616-38-04.549_NIR_65414_124260_rgbi.tif	454400.241	5639014.018	4527.334	-2.04269	3.70084	27.08857
2096_146305.551249146C000616-38-07.551_NIR_65415_124261_rgbi.tif	454212.986	5638885.826	4531.806	-1.75001	3.98485	26.93956
2096_146308.550407147C000616-38-10.550_NIR_65416_124262_rgbi.tif	454026.994	5638758.209	4536.203	-1.25742	4.14312	27.02834
2096_146311.549966148C000616-38-13.549_NIR_65417_124263_rgbi.tif	453842.207	5638630.413	4539.865	-1.44953	3.84614	27.21451
2096_146314.550106149C000616-38-16.550_NIR_65418_124264_rgbi.tif	453658.272	5638502.455	4542.760	-1.94510	3.31846	27.37932
2096_146317.550683150C000616-38-19.550_NIR_65419_124265_rgbi.tif	453474.548	5638374.917	4544.885	-1.71914	3.24421	27.09733
2096_146320.550806151C000616-38-22.550_NIR_65420_124266_rgbi.tif	453290.830	5638247.715	4546.198	-0.98745	3.41478	27.27539
2096_146323.550397152C000616-38-25.550_NIR_65421_124267_rgbi.tif	453107.430	5638119.759	4546.911	-0.54237	3.57373	27.65522
2096_146326.550501153C000616-38-28.550_NIR_65422_124268_rgbi.tif	452924.536	5637990.388	4547.472	-0.89950	3.29916	28.01548
2096_146329.550351154C000616-38-31.550_NIR_65423_124269_rgbi.tif	452741.954	5637860.086	4548.173	-1.53102	2.90554	28.05566
2096_146332.550981155C000616-38-34.550_NIR_65424_124270_rgbi.tif	452559.080	5637729.727	4549.096	-1.50605	2.95370	28.04627
2096_146335.55105156C000616-38-37.551_NIR_65425_124271_rgbi.tif	452376.103	5637599.325	4550.424	-0.69764	3.49145	28.26069
2096_146338.550688157C000616-38-40.550_NIR_65426_124272_rgbi.tif	452193.728	5637467.766	4551.939	-0.35989	3.77533	28.73723
2096_146341.550752158C000616-38-43.550_NIR_65427_124273_rgbi.tif	452012.199	5637334.708	4553.661	-2.11411	2.85761	28.95503
2096_146344.550407159C000616-38-46.550_NIR_65428_124274_rgbi.tif	451830.560	5637202.112	4555.611	-2.11400	2.87075	28.63903
2096_146347.55045160C000616-38-49.550_NIR_65429_124275_rgbi.tif	451648.614	5637070.362	4557.624	-1.52965	3.12896	28.23572
2096_146350.550299161C000616-38-52.550_NIR_65430_124276_rgbi.tif	451466.850	5636938.807	4559.523	-1.32839	3.43068	27.99353
2096_146353.550146162C000616-38-55.550_NIR_65431_124277_rgbi.tif	451285.656	5636807.083	4561.620	-1.35840	3.49393	27.99056
2096_146356.549999163C000616-38-58.549_NIR_65432_124278_rgbi.tif	451105.118	5636675.115	4563.359	-1.55230	3.32767	28.01383
2096_146359.549848164C000616-39-01.549_NIR_65433_124279_rgbi.tif	450925.042	5636542.988	4563.970	-1.15728	3.37706	28.04982
2096_146362.550553165C000616-39-04.550_NIR_65434_124280_rgbi.tif	450745.327	5636410.279	4563.405	-1.31418	3.03692	28.18010
2096_146365.550548166C000616-39-07.550_NIR_65435_124281_rgbi.tif	450565.658	5636277.239	4561.911	-1.57558	2.68724	28.12982
2096_146368.550268167C000616-39-10.550_NIR_65436_124282_rgbi.tif	450385.601	5636144.132	4560.003	-0.91692	3.05174	28.14011
2096_146371.550247168C000616-39-13.550_NIR_65437_124283_rgbi.tif	450205.547	5636010.190	4558.346	-0.31197	3.43725	28.40359
2096_146374.550981169C000616-39-16.550_NIR_65438_124284_rgbi.tif	450026.093	5635874.456	4556.976	0.47341	3.87156	29.11589
2096_146377.550951170C000616-39-19.550_NIR_65439_124285_rgbi.tif	449847.994	5635735.927	4555.320	0.67014	3.94921	30.06220
2096_146380.549798171C000616-39-22.549_NIR_65440_124286_rgbi.tif	449671.478	5635594.333	4553.622	-1.59185	2.62378	30.99814
2096_146383.550648172C000616-39-25.550_NIR_65441_124287_rgbi.tif	449494.949	5635452.126	4552.754	-2.08230	2.48755	30.81171
2096_146386.551413173C000616-39-28.551_NIR_65442_124288_rgbi.tif	449317.956	5635310.766	4552.641	-1.28436	3.13273	30.83473
2096_146605.149827174C000616-43-07.149_NIR_65443_124289_rgbi.tif	443402.632	5629602.595	4560.101	2.37332	-1.32800	-138.18726
2096_146610.150024175C000616-43-12.150_NIR_65444_124290_rgbi.tif	443722.700	5629820.661	4551.063	1.15291	-1.93846	-137.99743
2096_146615.152365176C000616-43-17.152_NIR_65445_124291_rgbi.tif	444046.393	5630044.168	4545.276	2.58354	-2.82922	-137.74713
2096_146620.15211177C000616-43-22.152_NIR_65446_124292_rgbi.tif	444369.990	5630268.990	4545.483	3.69186	-0.00532	-137.63332
2096_146625.151856178C000616-43-27.151_NIR_65447_124293_rgbi.tif	444698.976	5630493.280	4538.197	2.31922	-2.07800	-138.85244
2096_146630.152213179C000616-43-32.152_NIR_65448_124294_rgbi.tif	445032.187	5630716.384	4540.185	4.26768	-1.45858	-139.58489
2096_146635.150974180C000616-43-37.150_NIR_65449_124295_rgbi.tif	445367.106	5630935.448	4543.648	1.11109	-3.45710	-139.53132
2096_146640.151736181C000616-43-42.151_NIR_65450_124296_rgbi.tif	445699.477	5631158.664	4542.290	0.84891	-2.99697	-138.75304
2096_146645.151849182C000616-43-47.151_NIR_65451_124297_rgbi.tif	446030.430	5631386.999	4538.127	2.28491	-1.70539	-138.12129
2096_146650.151263183C000616-43-52.151_NIR_65452_124298_rgbi.tif	446363.698	5631615.735	4535.883	2.52806	-2.17866	-138.58867
2096_146655.152341184C000616-43-57.152_NIR_65453_124299_rgbi.tif	446698.493	5631842.472	4539.311	2.59174	-3.35561	-138.47820
2096_146660.151785185C000616-44-02.151_NIR_65454_124300_rgbi.tif	447030.010	5632067.183	4548.054	2.39886	-3.94551	-138.14467
2096_146665.150835186C000616-44-07.150_NIR_65455_124301_rgbi.tif	447356.219	5632291.183	4556.301	2.09336	-3.53003	-137.74929
2096_146670.15131187C000616-44-12.151_NIR_65456_124302_rgbi.tif	447679.228	5632515.745	4559.949	1.91920	-2.78544	-137.49560
2096_146675.152334188C000616-44-17.152_NIR_65457_124303_rgbi.tif	448001.532	5632742.379	4559.008	0.78801	-3.06744	-137.05947
2096_146680.152085189C000616-44-22.152_NIR_65458_124304_rgbi.tif	448321.644	5632975.061	4555.455	1.10925	-2.76591	-135.79495
2096_146685.151829190C000616-44-27.151_NIR_65459_124305_rgbi.tif	448639.348	5633213.763	4552.189	5.27157	0.60940	-135.78413
2096_146690.152369191C000616-44-32.152_NIR_65460_124306_rgbi.tif	448963.036	5633447.123	4551.607	2.57103	-2.88835	-137.03917
2096_146695.152328192C000616-44-37.152_NIR_65461_124307_rgbi.tif	449288.416	5633676.351	4553.215	2.91072	-2.33543	-137.49097
2096_146700.151898193C000616-44-42.151_NIR_65462_124308_rgbi.tif	449616.621	5633901.306	4551.951	2.63136	-1.59446	-138.81937
2096_146705.151825194C000616-44-47.151_NIR_65463_124309_rgbi.tif	449949.377	5634123.872	4547.641	1.87770	-1.82064	-138.93926
2096_146710.152425195C000616-44-52.152_NIR_65464_124310_rgbi.tif	450284.691	5634347.464	4543.303	1.63607	-2.50041	-139.02011
2096_146715.152323196C000616-44-57.152_NIR_65465_124311_rgbi.tif	450620.122	5634572.051	4543.222	2.29462	-3.07097	-138.90589
2096_146720.152072197C000616-45-02.152_NIR_65466_124312_rgbi.tif	450952.800	5634796.243	4549.221	1.59585	-4.25028	-138.35714
2096_146725.151819198C000616-45-07.151_NIR_65467_124313_rgbi.tif	451280.182	5635021.199	4556.999	2.69881	-2.89519	-138.08234
2096_146730.151569199C000616-45-12.151_NIR_65468_124314_rgbi.tif	451605.100	5635246.207	4562.366	-0.43766	-4.75655	-137.12110
2096_146735.151317200C000616-45-17.151_NIR_65469_124315_rgbi.tif	451923.728	5635479.867	4562.772	1.93373	-1.88859	-136.10996
2096_146740.151069201C000616-45-22.151_NIR_65470_124316_rgbi.tif	452243.683	5635715.746	4562.176	4.52581	0.09293	-137.19672
2096_146745.151818202C000616-45-27.151_NIR_65471_124317_rgbi.tif	452571.338	5635945.257	4562.613	3.13187	-1.76177	-138.28448
2096_146750.151567203C000616-45-32.151_NIR_65472_124318_rgbi.tif	452902.537	5636170.377	4564.481	2.29105	-2.80356	-138.84405
